county,district,section,number,xcenter,ycenter
桃園市,中壢區,內壢段,1381,121.23574694871499,25.0072625479495
桃園市,楊梅區,豐野段,675-12,121.07799715817501,24.9382959049575
桃園市,楊梅區,豐野段,675-21,121.077311674925,24.938186303925
桃園市,楊梅區,新明段,945-1,121.07794838081,24.93493450348
桃園市,楊梅區,民豐段,1225,121.11166578634,24.931019943408
桃園市,新屋區,石牌嶺段,996,121.05789851156999,24.9984991209735
桃園市,新屋區,青田段,749,121.13775528919001,24.9505420812135
桃園市,桃園區,慈文段,1984,121.296255290885,25.009368752729
桃園市,觀音區,草富段,508,121.13813235596,25.0439214559115
桃園市,中壢區,萬能段,950,121.23603292549001,24.987720741828
桃園市,中壢區,永清段,74,121.2355414386,24.987159517897
桃園市,觀音區,忠愛段,158,121.15623484540001,25.005850977616497
桃園市,中壢區,西寮段,200,121.241373069485,24.928693940313998
桃園市,觀音區,三座屋段橫圳頂小段,956,121.07990335966,25.0184734905345
桃園市,桃園區,埔子段北門埔子小段,3-106,121.309483189355,25.001399520663497
桃園市,龜山區,南崁頂段陳厝坑小段,524-21,121.324431988935,25.0482771400605
桃園市,龜山區,舊路坑段舊路坑小段,755-14,121.35953374352499,25.0132107324185
桃園市,觀音區,大同段,17-1,121.123186390095,25.0179464354755
桃園市,觀音區,三座屋段橫圳頂小段,957,121.08005431813,25.018331366065503
桃園市,大園區,埔心段三塊厝小段,617,121.23174653841,25.035078133457503
桃園市,蘆竹區,大新段,99-2,121.26304878415999,25.017705786878
桃園市,蘆竹區,蘆興段,894,121.27604020692,25.049229170754
桃園市,大園區,埔心段埔心小段,1046,121.21888230313999,25.05281339837
桃園市,蘆竹區,坑子外段山腳小段,310-4,121.27820297885,25.0912131484875
桃園市,大園區,橫山段橫山小段,21-9,121.217663244,25.031624093467002
