year,month,group_center,refer_point1,refer_point2,refer_point3,refer_point4,group
2012,10,6.0,6.0,3.0,2.0,12.0,3
2012,11,8.0,7.0,6.0,0.0,8.0,3
2012,12,4.0,17.0,9.0,3.0,7.0,3
2013,1,9.0,15.0,2.0,3.0,11.0,3
2013,2,4.0,12.0,4.0,2.0,5.0,3
2013,3,8.0,16.0,3.0,4.0,6.0,3
2013,4,6.0,18.0,5.0,2.0,8.0,3
2013,5,10.0,12.0,3.0,4.0,7.0,3
2013,6,11.0,14.0,2.0,5.0,12.0,3
2013,7,3.0,15.0,2.0,0.0,8.0,3
2013,8,7.0,17.0,4.0,7.0,14.0,3
2013,9,7.0,17.0,2.0,4.0,12.0,3
2013,10,2.0,30.0,4.0,1.0,10.0,3
2013,11,7.0,22.0,6.0,2.0,15.0,3
2013,12,10.0,20.0,1.0,3.0,11.0,3
2014,1,3.0,11.0,3.0,0.0,16.0,3
2014,2,4.0,16.0,1.0,2.0,9.0,3
2014,3,4.0,11.0,1.0,0.0,10.0,3
2014,4,6.0,28.0,0.0,5.0,6.0,3
2014,5,4.0,18.0,0.0,4.0,1.0,3
2014,6,2.0,9.0,4.0,0.0,2.0,3
2014,7,7.0,14.0,2.0,0.0,10.0,3
2014,8,5.0,10.0,2.0,0.0,12.0,3
2014,9,4.0,16.0,1.0,1.0,5.0,3
2014,10,4.0,6.0,2.0,0.0,7.0,3
2014,11,3.0,14.0,2.0,1.0,6.0,3
2014,12,13.0,17.0,1.0,0.0,23.0,3
2015,1,4.0,10.0,1.0,2.0,5.0,3
2015,2,2.0,3.0,1.0,3.0,1.0,3
2015,3,5.0,6.0,4.0,1.0,4.0,3
2015,4,6.0,9.0,2.0,0.0,5.0,3
2015,5,1.0,6.0,2.0,0.0,10.0,3
2015,6,8.0,9.0,2.0,0.0,8.0,3
2015,7,2.0,2.0,0.0,1.0,6.0,3
2015,8,6.0,3.0,1.0,0.0,5.0,3
2015,9,7.0,15.0,0.0,1.0,5.0,3
2015,10,4.0,8.0,0.0,1.0,3.0,3
2015,11,5.0,14.0,3.0,2.0,3.0,3
2015,12,6.0,13.0,6.0,4.0,7.0,3
